transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Full Fare,12,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
03/10/2023 12:00:00 AM,subway,325,Canal St (1),Manhattan,omny,OMNY - Full Fare,41,0,40.72285461425781,-74.00627899169922,POINT (-74.00627899169922 40.72285461425781)
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Other,2,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,10,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,5,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
03/10/2023 12:00:00 AM,subway,326,Franklin St (1),Manhattan,omny,OMNY - Full Fare,16,0,40.71931838989258,-74.00688934326172,POINT (-74.00688934326172 40.71931838989258)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Full Fare,20,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Fair Fare,3,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Seniors & Disability,4,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,8,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Students,1,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,14,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,327,"Chambers St (1,2,3)",Manhattan,omny,OMNY - Full Fare,27,0,40.715476989746094,-74.00926971435547,POINT (-74.00926971435547 40.715476989746094)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Fair Fare,1,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Other,1,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Full Fare,21,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Seniors & Disability,3,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,6,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,6,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,328,WTC Cortlandt (1),Manhattan,omny,OMNY - Full Fare,16,0,40.71183395385742,-74.01219177246094,POINT (-74.01219177246094 40.71183395385742)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Fair Fare,1,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Seniors & Disability,1,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Full Fare,10,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Unlimited 30-Day,3,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,4,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,329,Rector St (1),Manhattan,omny,OMNY - Full Fare,5,0,40.70751190185547,-74.01378631591797,POINT (-74.01378631591797 40.70751190185547)
03/10/2023 12:00:00 AM,subway,33,45 St (R),Brooklyn,metrocard,Metrocard - Full Fare,4,0,40.6489372253418,-74.010009765625,POINT (-74.010009765625 40.6489372253418)
03/10/2023 12:00:00 AM,subway,33,45 St (R),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1,0,40.6489372253418,-74.010009765625,POINT (-74.010009765625 40.6489372253418)
03/10/2023 12:00:00 AM,subway,33,45 St (R),Brooklyn,omny,OMNY - Full Fare,1,0,40.6489372253418,-74.010009765625,POINT (-74.010009765625 40.6489372253418)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Full Fare,20,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Fair Fare,2,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Other,4,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Seniors & Disability,3,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,13,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,11,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,333,"Wall St (2,3)",Manhattan,omny,OMNY - Full Fare,32,0,40.70682144165039,-74.00910186767578,POINT (-74.00910186767578 40.70682144165039)
03/10/2023 12:00:00 AM,subway,334,"Clark St (2,3)",Brooklyn,metrocard,Metrocard - Full Fare,3,0,40.69746780395508,-73.99308776855469,POINT (-73.99308776855469 40.69746780395508)
03/10/2023 12:00:00 AM,subway,334,"Clark St (2,3)",Brooklyn,metrocard,Metrocard - Fair Fare,1,0,40.69746780395508,-73.99308776855469,POINT (-73.99308776855469 40.69746780395508)
03/10/2023 12:00:00 AM,subway,334,"Clark St (2,3)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,3,0,40.69746780395508,-73.99308776855469,POINT (-73.99308776855469 40.69746780395508)
